-7.45202,-1.76474,-3.00057,-2.99908,71.9959,1.1703e-06,18,-3.00057,-2.99908,719.959,1.1703e-07,18,-3.00057,-2.99908,7199.59,1.1703e-08,18
-4.21962,-9.79672,-2.94044,-2.9404,70.5772,0.00709934,18,0.0149928,0.014964,178.207,1.81802,18,2.94112,2.94101,0.694695,0.705925,21
1.23181,-4.89792,-2.8797,-2.87774,69.1188,0.0294178,15,0.999566,1.02644,78.9668,3.22087,12,2.97066,2.97074,0.171659,0.712986,21
-4.79318,5.97371,-2.81999,-2.81994,67.744,0.0648248,24,1.53406,1.53434,42.9713,4.1118,18,2.98068,2.98071,0.0745061,0.715375,21
-1.98905,6.05797,-2.76432,-2.75962,66.4006,0.113326,15,1.8388,1.83875,26.9691,4.68274,18,2.98572,2.98586,0.0403791,0.716594,18
6.79658,-5.20332,-2.69979,-2.69967,64.9738,0.180328,21,2.04209,2.0418,18.3575,5.08424,27,2.98867,2.98865,0.0257198,0.717281,21
-8.55415,-8.18259,-2.64005,-2.63976,63.6171,0.259336,21,2.18732,2.18734,13.2086,5.38168,21,2.99055,2.99062,0.0177358,0.717742,21
-6.2174,9.11143,-2.57998,-2.57995,62.272,0.35286,24,2.29641,2.2964,9.90085,5.61039,21,2.99218,2.99193,0.0126289,0.718094,21
-1.61571,-3.51457,-2.52003,-2.51995,60.9406,0.460817,24,2.38121,2.38132,7.65666,5.7916,21,2.99356,2.99202,0.0105122,0.718271,15
-5.94377,0.352944,-2.45989,-2.46032,59.6256,0.582965,18,2.44814,2.4483,6.0893,5.93661,18,2.9941,2.99411,0.00694857,0.718586,18
-8.78477,9.19457,-2.3993,-2.40006,58.3131,0.720767,24,2.50461,2.50461,4.90818,6.06015,21,2.99465,2.9946,0.00577103,0.718711,21
-5.16021,1.91164,-2.34075,-2.33961,57.035,0.870727,18,2.55079,2.5509,4.03482,6.16237,21,2.99522,2.99533,0.00446155,0.718867,18
-0.498894,3.85903,-2.27925,-2.28076,55.7569,1.03678,18,2.58969,2.59036,3.36159,6.24968,15,2.99554,2.99564,0.00388793,0.718942,18
-1.85716,9.55197,-2.21988,-2.22016,54.4972,1.21674,24,2.62379,2.62348,2.833,6.32506,18,2.99586,2.99599,0.0033173,0.719023,24
9.39707,7.54087,-2.15991,-2.15994,53.2496,1.41146,21,2.65272,2.65227,2.4152,6.39014,18,2.99634,2.99601,0.00293359,0.719082,21
7.93738,-8.05495,-2.10019,-2.10015,52.0234,1.61939,21,2.67817,2.67834,2.07038,6.44852,21,2.99676,2.99676,0.00210272,0.719222,24
-4.22386,-6.28224,-2.04001,-2.03994,50.8027,1.84329,21,2.70944,2.68846,1.81483,6.49563,18,2.99667,2.99705,0.00197787,0.719247,21
-7.85167,7.00795,-1.97945,-1.98026,49.5979,2.08139,18,2.72046,2.72033,1.56356,6.54459,18,2.9969,2.99682,0.00197163,0.719247,21
-1.18016,-2.64485,-1.92004,-1.9197,48.4102,2.33336,15,2.73856,2.73865,1.36656,6.58631,24,2.99702,2.99794,0.00131082,0.719396,15
